GEO_ID	NAME	DP03_0001E	DP03_0002E	DP03_0003E	DP03_0004E	DP03_0005E	DP03_0006E	DP03_0007E	DP03_0008E	DP03_0009E	DP03_0010E	DP03_0011E	DP03_0012E	DP03_0013E	DP03_0014E	DP03_0015E	DP03_0016E	DP03_0017E	DP03_0018E	DP03_0019E	DP03_0020E	DP03_0021E	DP03_0022E	DP03_0023E	DP03_0024E	DP03_0025E	DP03_0026E	DP03_0027E	DP03_0028E	DP03_0029E	DP03_0030E	DP03_0031E	DP03_0032E	DP03_0033E	DP03_0034E	DP03_0035E	DP03_0036E	DP03_0037E	DP03_0038E	DP03_0039E	DP03_0040E	DP03_0041E	DP03_0042E	DP03_0043E	DP03_0044E	DP03_0045E	DP03_0046E	DP03_0047E	DP03_0048E	DP03_0049E	DP03_0050E	DP03_0051E	DP03_0052E	DP03_0053E	DP03_0054E	DP03_0055E	DP03_0056E	DP03_0057E	DP03_0058E	DP03_0059E	DP03_0060E	DP03_0061E	DP03_0062E	DP03_0063E	DP03_0064E	DP03_0065E	DP03_0066E	DP03_0067E	DP03_0068E	DP03_0069E	DP03_0070E	DP03_0071E	DP03_0072E	DP03_0073E	DP03_0074E	DP03_0075E	DP03_0076E	DP03_0077E	DP03_0078E	DP03_0079E	DP03_0080E	DP03_0081E	DP03_0082E	DP03_0083E	DP03_0084E	DP03_0085E	DP03_0086E	DP03_0087E	DP03_0088E	DP03_0089E	DP03_0090E	DP03_0091E	DP03_0092E	DP03_0093E	DP03_0094E	DP03_0095E	DP03_0096E	DP03_0097E	DP03_0098E	DP03_0099E	DP03_0100E	DP03_0101E	DP03_0102E	DP03_0103E	DP03_0104E	DP03_0105E	DP03_0106E	DP03_0107E	DP03_0108E	DP03_0109E	DP03_0110E	DP03_0111E	DP03_0112E	DP03_0113E	DP03_0114E	DP03_0115E	DP03_0116E	DP03_0117E	DP03_0118E	DP03_0119E	DP03_0120E	DP03_0121E	DP03_0122E	DP03_0123E	DP03_0124E	DP03_0125E	DP03_0126E	DP03_0127E	DP03_0128E	DP03_0129E	DP03_0130E	DP03_0131E	DP03_0132E	DP03_0133E	DP03_0134E	DP03_0135E	DP03_0136E	DP03_0137E
1400000US36047000100	"Census Tract 1, Kings County, New York"	3764	2413	2413	2356	57	0	1351	2413	(X)	2061	1371	1371	1354	314	206	333	287	2291	177	24	1521	430	45	94	32.8	2356	1929	77	268	82	0	2356	0	88	62	45	131	0	101	536	426	678	106	121	62	2356	1909	284	163	0	2304	56	56	197	108	117	290	376	262	301	541	96250	169461	1780	188379	689	19440	375	66454	100	10148	34	N	129	1100	0	56	119	0	54	29	182	65	163	432	161250	246624	88876	1204	82617	98962	84735	155333	84643	4405	4063	3568	938	342	798	0	2759	2227	2187	1982	1971	50	205	40	40	40	0	0	532	395	285	110	137	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000200	"Census Tract 2, Kings County, New York"	947	549	549	510	39	0	398	549	(X)	371	195	195	171	56	6	180	38	510	66	40	339	42	17	6	35.8	510	102	155	115	49	89	510	0	15	45	44	64	29	9	0	43	69	108	35	49	510	406	73	31	0	331	38	28	23	42	25	68	30	37	21	19	56080	66509	250	81346	57	15849	9	N	32	9931	39	2379	122	247	30	28	7	29	37	41	39	15	9	12	46328	59883	19749	84	45208	58226	25231	36071	-	1167	995	504	593	172	257	8	819	521	482	366	194	172	116	39	24	13	11	15	298	265	159	127	33	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000301	"Census Tract 3.01, Kings County, New York"	3314	2211	2211	2112	99	0	1103	2211	(X)	1680	1061	1061	1008	250	229	384	261	2052	146	31	1458	103	123	191	35.3	2112	1746	54	265	37	10	2112	0	15	31	72	87	37	204	474	615	334	115	68	60	2112	1770	197	145	0	1808	98	26	21	152	90	87	129	372	162	671	137157	265311	1424	272524	420	27511	396	62043	9	N	0	-	48	921	26	0	0	27	35	0	32	206	103	492	212574	390552	121708	887	92298	132840	100977	128947	94653	3924	3692	3396	687	232	657	40	2647	2082	2003	1941	1896	49	62	79	79	64	15	0	565	461	412	49	104	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000501	"Census Tract 5.01, Kings County, New York"	3943	2395	2395	2232	163	0	1548	2395	(X)	2260	1311	1311	1284	225	213	168	168	2163	47	42	1491	310	66	207	28.8	2232	1655	183	361	20	13	2232	10	21	30	46	148	0	126	413	619	439	209	53	118	2232	1831	283	118	0	1769	53	128	97	30	37	124	189	337	260	514	133750	182963	1350	199489	535	20628	244	38891	76	7861	20	N	182	707	0	0	38	0	10	55	9	147	87	361	212344	280496	77106	1062	94710	116521	71458	126389	108529	4308	4203	3776	890	105	650	0	2886	2163	2016	1990	1969	21	26	147	139	109	30	8	723	652	633	19	71	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000502	"Census Tract 5.02, Kings County, New York"	2398	1838	1838	1764	74	0	560	1838	(X)	1360	1049	1049	1007	129	96	190	161	1740	66	29	1176	214	121	134	28.5	1764	1359	76	318	0	11	1764	0	42	29	8	107	25	170	304	534	351	102	65	27	1764	1513	122	129	0	1534	30	0	89	60	40	112	115	331	291	466	146574	196208	1260	204197	381	27059	206	48112	12	N	11	N	24	510	0	0	11	0	0	0	22	80	118	279	228804	327936	111840	1024	106280	130601	100833	141250	106623	2697	2614	2336	607	83	341	22	1854	1678	1615	1582	1520	62	33	63	50	18	32	13	176	161	128	44	15	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000700	"Census Tract 7, Kings County, New York"	2972	2226	2216	2161	55	10	746	2216	(X)	1520	1090	1090	1066	430	354	590	384	2171	110	36	1402	270	94	259	34.3	2161	1723	96	256	25	61	2161	0	22	80	46	123	21	223	287	742	309	123	100	85	2161	1777	179	205	0	1637	115	17	20	46	72	159	77	249	275	607	160272	257690	1483	251630	244	19407	127	61308	21	N	0	-	35	921	17	10	0	17	55	50	35	113	135	489	211781	340685	107870	716	106750	147483	100357	135179	91902	3896	3854	3584	462	42	1051	0	2466	2070	2015	1994	1970	36	21	55	44	44	0	11	396	386	323	63	10	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047000900	"Census Tract 9, Kings County, New York"	3850	3041	3041	2910	131	0	809	3041	(X)	1937	1470	1470	1415	368	296	318	86	2881	86	0	2231	355	124	85	30.9	2910	2451	116	241	8	94	2910	0	38	121	32	100	89	240	438	1078	552	75	97	50	2910	2562	286	62	0	2098	36	0	41	58	98	173	256	272	292	872	169255	231224	1956	225914	251	25555	166	66695	56	7198	0	-	55	845	0	0	19	0	0	13	87	24	140	562	249732	369163	108418	1253	106152	138200	95127	165560	95000	4518	4470	4207	529	48	686	0	3447	2876	2780	2767	2724	43	13	96	96	65	31	0	571	536	471	65	35	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047001100	"Census Tract 11, Kings County, New York"	1341	1260	1260	1184	76	0	81	1260	(X)	579	548	548	506	89	82	51	39	1162	42	13	866	124	27	90	29	1184	990	43	132	0	19	1184	0	24	24	12	63	25	90	253	401	160	49	21	62	1184	1026	91	67	0	810	32	20	21	9	14	42	57	234	140	241	142813	179019	790	180637	5	N	19	2947	0	-	16	N	15	256	10	0	10	0	0	13	0	59	51	113	184091	225954	98966	554	135217	157330	99844	135556	91161	1468	1434	1337	115	34	140	0	1314	1251	1175	1152	1101	59	23	76	65	40	25	11	63	63	46	17	0	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047001300	"Census Tract 13, Kings County, New York"	1716	903	903	897	6	0	813	903	(X)	811	422	422	422	121	121	87	67	893	84	0	577	160	41	31	29.2	897	680	46	139	20	12	897	0	28	15	5	41	5	62	102	279	231	31	23	75	897	663	171	63	0	913	28	0	49	56	69	118	77	218	124	174	109208	131242	642	140471	345	23066	298	37550	0	-	4	N	0	361	7	0	16	10	12	3	30	87	70	126	162212	183565	62929	552	72857	95520	82650	106563	99375	1917	1615	1403	519	302	208	0	1283	819	813	808	778	30	5	6	6	5	1	0	464	169	168	21	295	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
1400000US36047001500	"Census Tract 15, Kings County, New York"	7603	5646	5646	5273	373	0	1957	5646	(X)	4254	3013	3013	2824	698	502	843	653	5236	275	30	3687	762	252	230	30.9	5273	3433	645	984	31	180	5273	0	71	200	75	523	183	457	677	1124	1081	483	183	216	5273	4515	506	236	16	4188	581	138	248	157	362	434	236	649	479	904	87237	136159	3671	144977	392	13212	207	20305	207	8381	248	3181	670	1855	77	89	144	108	184	238	116	262	113	524	92702	171873	63096	2333	82305	105105	67109	100028	75625	9011	8766	6551	2663	245	1628	0	6934	5495	5190	4970	4432	637	220	305	305	144	173	0	1439	1414	891	637	25	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)	(X)
